歌曲ID,歌单标题,创建者昵称,创建者id,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
6952442013,[Z世代说唱] 在节奏中感受Z世代的嘻哈力量,云音乐官方歌单,1463586082,介绍：	90前的说唱歌手大多早已登入封神殿堂，90后的说唱歌手多数也成为业内代表人，满载00后说唱歌手的东风列车也已经悉数候场，有的说唱歌手潜心学习，时刻准备着展现自己的作品，有的说唱歌手也早已登上评委席...	,30,409775,2497,26,15
2695101341,[拒绝瞌睡] 跟着节拍抖腿的嘻哈音乐,原创君,201586,介绍：	抖腿说唱 / 专治各种瞌睡	戴上耳机 我就是这条gai最酷的崽	,30,9963747,78833,540,153
6862602894,[中文旋律说唱] 旋律与节奏撞出轻松惬意的时光,云音乐官方歌单,1463586082,介绍：	试穿合身的衣服时	被夸拼好的积木时	沉浸自己的世界时	买到刚出炉的点心时	赶上刚进站的地铁时	遇见聊得来的朋友时	看见遍布天空的夕阳时	窝进干净温暖的房间时	感受没有噩梦的夜晚时	你都可以点开这个歌单...	,30,2105341,15995,115,34
6700242542,[雷击顿唱片行] 让你扭动身体的异域节奏,云音乐官方歌单,1463586082,介绍：	雷击顿（Reggaeton）是一种新的音乐形式，产生于波多黎各，结合了传统Salsa音乐，牙买加的Reggae，以及Hip Hop等多种音乐风格为一体。有节奏的鼓点与畅酣的说唱很容易带动人的积极性，不自觉的想要扭腰摆臀...	,30,1325406,7786,67,25
6970792582,[Popping 练习曲] 机械律动 节奏强袭,云音乐官方歌单,1463586082,介绍：	你的专属Popping练舞管家，每日不同练习曲等你来选	,30,681226,5092,39,62
5395488578,[一周欧美说唱] 滴！果汁与比伯的冬日祝福已送达，请及时签收哦,云音乐官方歌单,1463586082,介绍：	编辑精选欧美说唱新歌	每周五更新 收藏订阅 一起SWAG！		,50,4518028,29121,143,86
6654532835,[打游戏听说唱] 说唱律动是你最佳游戏伴侣,云音乐官方歌单,1463586082,介绍：	说唱律动 Feat.超燃游戏	,30,3563896,27374,171,44
4952648595,【歐美】Trap/旋律說唱（切歌算我輸）持更,FsioruniQ,617551574,介绍：	Travis Scott，Gunna，6ix9ine，Tyga，Melly，Lil skies，lil xan，x，drake，kanye等，会更新（都是旋律性极强的歌曲，请用身体融入这个歌当中，有很多风格哦。）	,240,337052,6550,59,60
2875321368,Trap Rap R&B 杂…」,Krixx_,427713737,介绍：	杂（仅个人喜好）	,574,7115375,132550,1528,479
5269453086,「Hip-hop研究所」潮酷出街丨开启你的Swag,丨IIIIIIIIII丨,485543957,介绍：	律动的节奏感，带动你的神经，在炫酷的氛围中找到精神共鸣。		嘻哈是一种力量，诞生自阴影中，象征着美好的未来。	反映的是一种真实，是一种无畏，是一种对待事情的感性思考。		每个人都可以很嘻哈，每个人...	,313,1354597,18606,380,48
2394125021,请随机播放，切歌算你赢,codeacme17,335823191,介绍：	支持歌单合作.	,697,12597194,212732,3269,2405
4959088044,硬核「蒙古说唱」,BaynErhet,378028169,介绍：	封面是说唱歌手；Big Gee 和 Zugii	蒙古国 蒙古语说唱。	Click Click Boom说唱团体的Big Gee和Desant，Ice Top，Digital，Tatar，S&I，Rokit bay，Toonot音乐公司。J.S Bobo等等	,123,322420,5259,74,14
