歌曲ID,歌单标题,创建者昵称,创建者id,介绍,歌曲数量,播放量,添加到播放列表次数,分享次数,评论数
6600143502,甜系rap|甜到你心里,dazzd,381977701,介绍：	上榜请私信	,16,530601,3345,3591,1012
2356473597,“甜味 旋律 Rap情歌”,张以晨_,392078662,介绍：	在什么都善变的世间，我想和你看一看永远		歌单支持投稿	,397,2574966,35081,450,125
2900520316,【说唱】从地上到underground hiphop,HC-zagie,1444042361,介绍：	推歌进群等活动加v：lxqcsjwlkq1220 近期建交流群 不定期更新	,208,1071845,13928,145,100
6708035697,【RAP】Dear God.,M7_Rye,3897820119,介绍：	哥谭市五好居民。	不分类 啥类型也有，	,1209,14144,235,104,1
7067950752,WLAN Forever,Vison橙,565289212,介绍：	把我们爱意像WLAN信号一样传播	这里是WLAN说唱团体	,71,127,9,5,评论
5395214137,trap，hiphop合集一 | 嘻哈一种生活的态度,21m的意大利炮,262060227,介绍：	"生命是一团欲望，欲望不能满足便痛苦，满足便无聊，人生就在痛苦和无聊之间摇摆。"	,125,65296,904,7,12
2695101341,[拒绝瞌睡] 跟着节拍抖腿的嘻哈音乐,原创君,201586,介绍：	抖腿说唱 / 专治各种瞌睡	戴上耳机 我就是这条gai最酷的崽	,30,9997880,78967,542,153
3119595459,国产hiphop百听不厌,Double_Mini,421421612,介绍：	( 接投稿 ) 带给你非常有质感的国产说唱单曲百听不厌的好音乐每天用心更新希望大家多多收藏评论多多支持	,452,20994118,125830,4327,461
5070074208,到点了，该emo了,WATCHINGINGLOVE,303366015,介绍：	到点了，该emo了 。自己喜欢的 喜欢就听 不喜欢就算了	,245,2536853,12328,373,113
6600101145,浪漫说唱|撩动你的心,dazzd,381977701,介绍：	上榜请私信	,17,256576,3272,3586,320
5106401942,贝贝开着粉红法拉利,Rest72_,1835719964,介绍：	持续更新	,62,1066084,10903,58,13
5443776502,cheatcode-lil york mixtape No.2,Najeremy,546466019,介绍：	lil york 2021 第二张唱片登陆网易云了喜欢的朋友可以留言分享收藏三连击，谢谢 shut out to cheatcode cc 4 life slat	,5,100878,2047,0,评论
4964806727,「新生代」蒙古说唱,BaynErhet,378028169,介绍：	封面是；蒙古国 Uka 和 Don Dior 		蒙古说唱 新秀	Don Dior，Vandebo，Thunder Z，Ginjin，Maaraa，Roockie.，Fla，AM-C，Mrs M，Loce，168，Wolfizm，Wondha Mountain	,289,71037,1274,16,3
2423939332,旋律说唱丨循环系列,Selected音乐,1520920706,介绍：	(接投稿)因为专一 所以专业 让你感受最动听的旋律说唱 持续更新	,729,20931796,185832,4460,530
4948845769,『进 口 狠 货』& 极品 SWAY精选,韩某的可乐加冰,1724067555,介绍：	走路不要听 会拽的跟二五八万似的……	,103,172975,963,15,11
6700242542,[雷击顿唱片行] 让你扭动身体的异域节奏,云音乐官方歌单,1463586082,介绍：	雷击顿（Reggaeton）是一种新的音乐形式，产生于波多黎各，结合了传统Salsa音乐，牙买加的Reggae，以及Hip Hop等多种音乐风格为一体。有节奏的鼓点与畅酣的说唱很容易带动人的积极性，不自觉的想要扭腰摆臀...	,30,1344490,7902,68,25
6589049163,BOOMSHAKE丨微醺Hiphop,tan4ko,105735227,介绍：	酒精允许一切情绪	,152,1021249,16674,298,42
5290830261,让你心动的说唱伴奏rap beat,ZiJianHan,271715824,介绍：	说唱是流行音乐的一种表现形式，是指有节奏地说话的特殊唱歌形式。发源于纽约贫困黑人聚居区。它以在机械的节奏声的背景下，快速地诉说一连串押韵的诗句为特征。	,44,99975,1681,2,2
6752221322,“你真的甘心错过吗？”,于懿1,1669960899,介绍：	我时常问自己是否真的听懂这些歌，为何总是揪着过去不放手。我真的不甘心.....可又有什么用呢？前方的路漆黑一片，不知道危险躲藏在哪里，只剩我一个人被孤独无限拉扯。		我真的不能想象没有你的未来........	,108,2493575,11723,567,120
6813607109,Travis Scott !!!,HC-zagie,1444042361,介绍：	钩子一反 听Travis Scott更带感 推歌v：lxwcsjwlkq1220	,67,17697,224,0,评论
3119596483,中文说唱丨宝藏系列,Top嘉熙,421419695,介绍：	MADE IN CHINA 中文说唱已崛起	,387,20375660,116473,3277,180
6616811098,Rapper说情话,leicoattraversiamo_,534388127,介绍：	Rapper说情话 Rapper说情话 Rapper说情话	,20,11737,232,26,2
5395488578,[一周欧美说唱] 枪姐联手Push拉开新专序幕，果汁遗作重现旋律荣光,云音乐官方歌单,1463586082,介绍：	编辑精选欧美说唱新歌	每周五更新 收藏订阅 一起SWAG！		,50,4558247,29301,145,86
2894678520,情话 Rapper 收获你的少女心,Doki少女鹿安然,1854050928,介绍：	实验证明Hip-hop很容易收获少女心 Skr…	,144,995696,10419,105,31
6945850699,【RAP】甜甜的戀愛循環,Cast-Off-Music3,4987484153,介绍：	戀愛循環播放，一直在循环播放。	,28,121433,2116,216,5
2195781651,不知名选手au,点击的秘密,391652836,介绍：	魅 力 男 孩 u 桑	,444,2505934,42807,237,86
4910716822,情绪英文嘻哈｜Emo Trap R&B,WhatsUpRAMS,325767093,介绍：	主要收集情绪向嘻哈音乐，以trap和r&b为主，本歌单持续更新，请关注：		情绪陷阱 Emotional Trap	旋律陷阱 Melodic Trap	流行节奏蓝调 R&B	,121,34501,508,7,4
2119378458,前方注意！精选高甜【rap】请签收,Ji_s0o,1383536319,介绍：	饶舌饶不过你	甜心不过是你		这个不mf接投稿	接投稿	,309,15856345,234577,2584,1009
5088720782,能让你“走路带风”的Rap,说唱HIPHOP,1338187188,介绍：	建议带上耳机调到最大声，注意安全	,34,74825,1817,12,18
6970792582,[Popping 练习曲] 机械律动 节奏强袭,云音乐官方歌单,1463586082,介绍：	你的专属Popping练舞管家，每日不同练习曲等你来选	,30,711566,5291,39,63
6607431117,好听的rap|不定时更新,dazzd,381977701,介绍：	上榜请私信	,16,63683,670,692,1
6742174395,小姜的浪漫主义,小葛爱刀削面子,1941569398,介绍：	＂该知道的都知道，不知道的慢慢了解”	,47,1001089,11999,99,48
2326852397,她像是含苞待放的花骨朵儿,暴雨淋在圣诞节,1470704489,介绍：	我不藏爱 我要把我想念的人公之于众 这场勇者游戏我要当勇者	,64,2468459,29877,369,235
2661706486,【精选百首】$Trap·808·$,Trap_808,134931383,介绍：	只求质量，不求数量，欢迎收藏。	这个也是我自己平时听的歌单，歌曲排序是按照我自己的喜好程度排的。	会随时更新 、替换歌曲。	Trap听的就是beat和flow，建议用低音效果强的耳机或音响来听，要不然没感觉...	,100,173139,2606,27,11
3036328969,说唱精选‖emo旋律励志炸都喜欢不纠结风格,孟琦爱吃辣,581839272,介绍：	说唱的很多风格我都很喜欢	好听的歌曲也不一定需要999+1w+	歌单收录说唱各种风格	炸的 emo的 旋律的 励志的 等	只要是高质量的歌曲都会收录	欢迎投稿高质量歌曲	发觉那些不知名rapper的歌曲		,208,13359459,85365,2181,37
6820739497,2021 XXL Freshman精选集|听这些了解他们,JoynerLucas508-507_,1787976864,介绍：	6月17日 XXL官方公布了2021 XXL Freshman Class 的11位入选者名单 他们分别是42 Dugg Blxst Coi Leray DDG Flo Milli iann dior Lakeyah Pooh Shiesty Morray Rubi Rose Toosii.	外网网友似乎对这届XXL新生...	,33,45740,647,14,9
6862602894,[中文旋律说唱] 旋律与节奏撞出轻松惬意的时光,云音乐官方歌单,1463586082,介绍：	试穿合身的衣服时	被夸拼好的积木时	沉浸自己的世界时	买到刚出炉的点心时	赶上刚进站的地铁时	遇见聊得来的朋友时	看见遍布天空的夕阳时	窝进干净温暖的房间时	感受没有噩梦的夜晚时	你都可以点开这个歌单...	,30,2170417,16498,116,34
5297939600,♛【 维吾尔说唱歌手丨Rangsiz 】♡,LiriCam,3305625059,介绍：	姓名：Xapkat-Arkin 艺术名:Rangsiz 出生地：和田地区 新疆Almas组合创始人 纯母语Rapper 独特的风格:R&b/ /UnderGround 代表作：《 Beralisang 》《 Ketting 》《 Boldi Emdi 》《 Yeraktiki San 》	,35,214589,1848,13,8
