idx,submittime,costtime,source,detail,text_id,M1-1,M1-2,M1-3,M1-4,M1-5,M1-6,M2-1,M2-2,M2-3,M2-4,M2-5,M2-6,M3-1,M3-2,M3-3,M3-4,M3-5,M4-1,M4-2,M4-3,M4-4,total_score,text,label,emotion,M1,M2,M3,M4
1,2019/12/3 10:19:07,117秒,样本服务,,4,1,3,1,2,2,3,3,3,2,4,3,4,2,2,1,3,2,3,4,2,1,51,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,12,19,10,10
2,2019/12/3 10:26:28,141秒,样本服务,,3,2,3,2,2,1,3,4,4,3,3,2,3,2,3,3,1,2,3,3,2,2,53,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,13,19,11,10
3,2019/12/3 10:27:24,117秒,样本服务,,5,4,3,2,3,4,4,3,4,2,3,2,3,4,2,3,2,1,2,2,1,1,55,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,20,17,12,6
4,2019/12/3 10:28:22,479秒,样本服务,,1,4,3,2,3,3,3,4,3,4,4,3,3,2,2,2,1,2,1,3,3,3,58,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,18,21,9,10
5,2019/12/3 10:28:33,122秒,样本服务,,3,1,4,1,1,1,3,3,2,2,4,3,3,3,3,3,1,1,1,2,2,1,45,【可恶！骆驼被砍四肢当街行乞】骆驼一般只在动物园才能见到，但近日，人们却在福州街头见到一只乞讨的骆驼。骆驼身旁有两位衣衫褴褛的人跪在地上磕头乞讨。民警发现，骆驼的四肢均有不同程度的损伤，四肢均无蹄子，据伤口观测有很大可能是人为造成。警方已协调相关部门处理,HLF,anger,11,17,11,6
6,2019/12/3 10:29:56,515秒,样本服务,,5,1,4,3,1,1,4,4,4,4,3,2,3,3,3,2,2,2,1,1,1,1,50,小女孩死于用完没有收好的手机充电器，她将充电器的一端放进嘴里，触电身亡，女孩父母悔恨不已，主动站起来警示大家！请不要让悲剧重复！,HLF,fear,14,20,12,4
7,2019/12/3 10:29:59,202秒,样本服务,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,84,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,24,24,20,16
8,2019/12/3 10:34:37,607秒,样本服务,,2,3,4,3,3,3,4,4,3,4,2,3,3,4,4,3,4,3,4,4,4,3,72,"看，安利老板死了！才56岁，吃了27年的纽崔莱，好讽刺啊。再看！安利成冠3S系统创始人陈观田因肝癌56岁去世,干了27年安利,27年纽崔莱,为美国人赚了27年钱。请再看，安利大师超凡创办人王慈官《远离贫穷》的作者，在福州逝世.天天吃安利保健品享年61岁。",HLF,disgust,20,19,18,15
9,2019/12/3 14:49:23,127秒,样本服务,,4,2,3,3,2,2,3,3,4,3,4,3,3,4,3,3,2,2,2,3,3,3,60,在宁波已发现中国国内第一起埃博拉，此疾病基本死亡率90%。流入中国时间比专家预估时间早十天。大家务必提醒孩子和家人随时肥皂洗手，不吃街边摊和露天食物，买回家的成品食物务必煮开食用，防范在先！切记此次埃博拉极可能发展为比SARS更可怕的瘟疫。大家注意卫生，保重！😳,HLF,fear,15,20,14,11
10,2019/12/3 14:50:40,136秒,样本服务,,1,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,3,3,2,3,3,59,紧急通知： 妇幼保健院通知、：现在得白血病的小孩越来越多，妇幼保健院提示您，请不要给宝宝喝爽歪歪和有添加剂的牛奶饮料，告诉家里有小孩的朋友，旺仔牛奶、可口可乐、爽歪歪、娃哈哈AD钙奶、未来星、Q星、美汁源果粒奶优的。都含有肉毒杆菌。现在紧急召回。有孩子的都转下！！！   没娃转转！！！,HLF,fear,18,17,13,11
