friends_count,repostNum,followers_count,weiboID
160,7,75,3950696707151772
5,285,66843,3949660958003450
338,0,262,3950515929249677
215,0,13,3950512342047569
41,0,2259,3950485830376193
52,0,308,3950359833819847
3452,50,39892,3950577740704021
583,51,24228,3950540041551623
2013,212,86409,3950679737373629
76,0,3,3950184092675476
110,0,23,3928737818940629
76,0,103,3949748014913237
136,0,33,3949303111620940
274,2,66,3949299543566933
45,0,48,3949262842318808
28,0,16,3949236351991960
160,0,143,3948657482881161
2979,18,9618,3938425637788990
2670,0,119806,3947521547917975
643,33,15295,3947546789166855
150,0,25,3946699137091278
674,0,174,3946536016784277
102,0,19,3946824093815678
78,3,33,3946726651471631
67,0,8,3930531982795601
1993,0,3366,3946156935498656
19,0,13,3945104399810639
64,1,8,3944257343275089
37,0,14,3943772960490779
186,0,38,3943250081721505
11,0,4,3930198636755512
69,0,40,3932980252603164
51,0,3,3929735794610726
22,0,3,3943532877791537
110,0,60,3929731588462542
81,0,5,3928188482423458
52,0,3,3930561964141231
4646,8,6504,3938464669636108
2253,1,3314,3946688219501686
656,111,563,3946716681995635
1336,20,12239,3945794678054774
23,1,1,3946176661512649
73,0,11,3944735955805319
247,0,80,3944177672491189
223,0,201,3944164410902165
268,0,199,3944013055190389
51,0,50,3943108045807879
129,0,78,3943547595484709
701,0,345,3943608581375825
378,0,252,3943851020259496
178,0,42,3920800979275425
206,0,148,3927318475441300
28,1,2,3927241156806287
204,5,471,3942560252559199
188,1,25,3942741023390407
82,0,20,3922748264988651
294,0,222,3941443041012429
131,0,71,3924374664981949
163,0,18,3919941151265004
134,0,40,3925557676720389
191,0,29,3920460200435533
107,0,11,3933507066051195
617,0,105,3942567949770673
237,0,178,3925485777687400
144,5,900,3939051641839202
300,12,207,3938083462480392
4583,359,9934,3933259806992976
119,0,34,3935570235310902
112,0,9,3931222784633759
2002,1,771,3918141342259159
187,0,116,3932926578092228
1846,70,18953,3931263083522883
421,0,271,3932994684894189
989,0,260,3930878780820471
44,0,36,3931881324540201
465,4,67,3931321430400789
1569,1,2377,3931500707459914
3663,91,26239,3931509465732895
719,11,1859,3931541392433479
77,108,58962,3931197111070545
1270,0,993,3931297556488480
89,3,20,3931299226501332
172,12,630628,3931278082382307
93,0,893,3931269995944823
1933,1,9285,3931252396662731
471,0,30,3930089571776632
55,1,45,3930532469409813
246,1,80,3930578883358160
660,16,832,3929871959333070
176,1,31,3929691365292723
43,0,78,3929682590188118
6,0,8,3923511892816851
720,2,2661,3927224870990751
2545,4,80933,3927195649243549
2242,38,54992,3927313354060710
107,0,6241,3927360791638056
138,0,7,3927361500297669
43,0,90,3927358261938482
229,0,127,3927350309940051
330,0,223,3927349966258815
367,250,1229,3926940325487077
15,1,263,3920289371267693
744,0,13118,3920289139872704
200,0,192,3916736669547288
200,0,192,3912460618536558
1473,0,116,3907278740430840
45,0,23,3905226186728487
39,0,32,3905215692438261
99,0,1481,3925781811972423
103,0,1382,3924045420204816
923,0,902,3924103100131338
188,45,223,3922182683935986
53,0,21,3915332764544756
86,0,18,3917842757856871
37,0,8,3912131965118766
2279,0,3337,3910943995742635
61,0,11,3889785464674432
67,0,18,3909191645383623
146,85,383,3908631366038465
107,0,19,3901884824201408
1997,189,10965,3902827187028827
38,0,1,3904084748628046
114,0,44,3904038963548866
637,0,53,3902470638223415
44,0,1,3902308087653416
33,0,3,3902199887199831
267,1,1270,3902121407991977
257,0,89,3901966419427941
85,3,19,3906190826751145
12,2,1,3903699451142382
61,5,35,3901470585901806
36,0,1,3903399097097042
62,0,2,3901426969047900
106,0,4,3902860221480573
63,0,1,3902707867650900
2002,0,381,3902664506718832
1900,1,2055,3905826315573576
24,0,68,3905838345232039
421,0,10,3902607007014804
233,0,31,3903356403944490
26,0,11,3902988584193062
