friends_count,repostNum,followers_count,weiboID
77,0,69004,3793976291216967
681,2,6398,3656813583185243
184,0,39822,3965901743766209
1215,0,20983,3945608626241268
1935,0,1385675,4010124030948666
1184,1,2513648,4010180012627429
169,0,27672,4006465200999401
958,4,124943,4009753535270230
315,2,444675,4007276085623945
233,0,47890,3986919941620359
180,1,275276,4008203886643905
1178,0,27786,3833841598885876
317,0,4794,3648593938694936
962,220,2164106,4009491823710991
27,0,2782,3505314231812942
1935,2,1385756,4010123938534389
106,0,70838,3796305065055828
409,0,399318,3791044027676440
468,0,6889,4009205332053382
304,0,1246,3593754089059029
599,21,941568,4009201053493431
2488,0,7246151,4009529559706847
1074,3,60528,4010144088471689
259,0,2111,3784373222288774
1887,0,516556,4007642877396280
1640,4,132322,3981955978809931
2002,6,30814,3848991848916187
1665,89,20105400,4008073963504021
1229,3,471,3586483463949896
461,0,9509,3866819444441282
31,0,3113,3700643137221318
950,11,1122626,4010103671675748
201,0,2318,3707960901386226
370,0,6843388,3945289709030007
483,4,88460,4009788998153861
710,399,14393362,3780115643167409
2140,4,236737,4005885577662699
149,0,5893,4006497958804803
1935,2,1385457,4010146839465041
1178,0,27786,3836974626551499
285,1,154663,3826749546904690
580,17,405589,4010136241047369
1054,0,2033504,4009778864947249
98,2,5393,3666271469941252
450,0,11468,4009024376314663
452,0,11117,3999940508126356
774,967,23753322,4010152413709897
154,0,3325,3553544047447883
108,0,42274,4008351022635604
280,1,927,3865671656262807
308,0,5559,4004322520244288
920,29,1655123,4010277000796887
692,0,397736,4009127316967942
154,0,159828,3983692399812496
1414,3,349472,4009569077832696
1016,65,4087069,3856916575202413
108,0,39012,3927860337063143
280,1,927,3860418642971291
2083,27,297356,4010125029604516
843,0,8577,3806583597558152
782,0,59055,3987124699669547
180,0,1900,3953030770649337
940,1,389421,4009034518669441
184,0,20918,3945599148100511
329,1,117446,4010103198090827
468,1,10836,4010103605201561
84,0,1217,3433726635839788
228,1,10033,3612183554772741
1896,1,62628,4004741371637193
2002,9,30814,3860573752307124
1145,13,135173,4010292260342420
1020,0,163026,4009857029336838
147,0,3615,3638328039627860
329,0,1430890,3918235587834114
211,1,283254,4005096981276494
329,3,117449,4009740613101809
1378,0,6515,3912275045653232
191,11,46229,4009042093821832
93,0,7032,3985544742632879
718,2,98305,4009472936960745
212,1,4170,3602082726950091
1872,22,1223928,4008675464483020
1921,0,12526,3789182637610096
35,0,9016,3592764626883043
1766,0,4090,3867782862781752
410,0,52910,4006849601222197
226,0,1900,3704245867688515
906,4,406300,4009168311980287
117,0,1850,3833721033570719
468,0,6889,4008311558904509
725,4,25752,3770227626014727
570,70,11293088,3879391744396465
66,0,2610,3726478527184393
327,0,4200,4007214005543532
57,0,3559,3824588943384428
421,2,2190443,4010104598299923
78,4,14,4001537741564754
1433,1,13364,4010182458092335
866,1,79943,4009065208154414
629,54,125892,4006512524985669
103,0,99150,4010229584447035
341,0,1866,3508664188679318
1958,460,47866337,4001190780216030
597,1358,7568546,4009380573765390
1184,3,2513647,4010103335559753
896,2,133831,3348957115974301
883,4,136432,4009769888464724
119,35,1337,4007615794843144
154,0,3325,3625640765175511
72,1318,8036017,3961945763258972
710,0,757511,4009884800820719
174,0,14607,3640592728759693
234,2,296,4007937011429993
1234,0,337163,4005068108159502
375,0,4696,4001881237856367
144,3,73187,4009059101045318
972,0,240959,4008742171402204
248,0,2459,3570594467609541
300,5,10029,3815556576926028
936,0,50977,3977178569512401
84,0,3632,3875463560726366
331,0,1551,3429720983556424
153,0,2007,3890656882046868
246,2,557,3920963991127816
1685,1,25814,3800728424298326
1016,0,4086911,4010322342233930
1054,0,2033504,4010289944911970
90,0,1678,3802130949190258
906,14,406296,4009795226741159
187,0,8454,3570918440078730
1365,0,88876,3923231683510431
54,1,1741,3581169134664963
1358,1448,9009673,4006496104648061
43,0,200,3663813100290765
1935,13,1385655,4010130675102164
570,135,11298640,3712704713359217
1371,7,206000,4009764453350712
147,0,3615,3660383657600563
270,0,86455,3993177427346320
68,1,1472,3350325822844160
117,0,2574843,4008841131322134
603,0,16185,3963017315567239
427,0,10301,3725657064136733
1902,0,5122,4001067022913281
64,18,8710,3832418752828718
1159,12,3679144,4008729449386380
422,0,38797,4003766795979537
119,0,4038,3472555405405085
596,0,9619,4009532223325353
211,3,283254,4007026248047096
960,1,384818,4002263430786085
687,2,1648466,4009914600850641
50,2,507,3919914358070683
327,1,552291,4009778206342239
123,0,16514,4001519026338031
312,0,480770,3958320606022680
369,0,238719,4001046173229933
920,42,1655124,4010247851158059
1433,1,13364,4010182575285321
274,15,3247,3811341757844258
620,8,88404,4010291677851836
144,0,73333,4009510730896265
111,3,2256,3539843860825341
1069,0,15169,3620926564088834
468,0,67133,4009104336751821
1685,3,25814,3800714469868481
406,0,15922,4001528501418209
427,1,10301,3725671517567288
550,1,5920,4003992612116146
43,15,308,4009563109631105
643,5,11433,3703314358810538
1309,0,14573,3993450959458068
135,0,19741,3968163693829416
132,969,11945116,3866034136656999
156,2,29018,4010102433861421
432,0,4849,3859006831699565
474,0,27886,3638317012829360
43,0,200,3663823648966979
348,2,2165103,4009847253022719
262,0,892747,3476009385310155
1029,53,5830619,4009758095216860
143,0,30081,3649919354730079
109,1,461,3732966222378045
450,0,11468,4009386207056392
1956,954,47858204,4009001098802483
153,0,84056,3593498684647822
319,0,4891,3686582445451578
263,0,11556,3714430980293096
971,48,3377507,3595556851020400
1992,0,564984,4009486329241314
222,6,1131,3623368001879096
995,0,5644,3698105571143854
967,0,17273,3859788444232439
774,0,5784,3925023842387489
348,0,2165098,4010248664282988
259,0,2111,3775739109253953
1981,2,374798,4009734204258323
515,0,9064,3906462386377206
211,0,283254,4007027607204091
559,0,15490,3716712627066776
1628,2,113230,4006481911002659
280,0,2992,3822478088476538
515,0,205480,4009211211746326
483,0,187688,4004400835592225
1365,11,2039888,4010261755073482
496,0,42323,3998976396941732
55,0,2619,3653551157390617
352,0,33968,3950435691491047
35,0,9016,3593075122833468
560,0,52869,3737345729414095
1418,43,1416274,4009914600342496
108,0,39012,3917717561921164
73,0,9573,3943439529495824
118,0,100233,4009823806785562
295,0,138539,4009415301984130
551,4,51723,4010202275687163
156,0,29018,4010152216530257
1541,0,23860,3887995947671026
232,2,39518,3553546475674920
484,1,463,4009409191131653
1059,17,551288,4001088937531581
519,0,4513,3788772640132278
312,3,59332,3998645390599817
1418,5,1416270,4010269434593292
741,0,33044,3975315958674854
607,2,8418,3585158362330147
701,1,9188,3992017236851261
693,0,130267,4009793801320493
1068,0,133481,4009859588041241
153,0,2007,3880476055830534
190,0,5731,3594098412171654
639,2,454307,4007625606023052
894,0,237685,3944215093933620
899,1,6214,3627269715483109
382,1296,23920286,3869986533725661
796,2,2124904,3951143820046358
905,0,110578,4007586448125781
277,1,1297,3720936115060531
499,0,2451,3342658450375030
93,0,7032,3986679485912089
344,0,3364,3901001754586854
77,0,4807,3949341590557639
1125,0,318140,4007222168084422
1966,5,10419,3927605310890044
43,0,200,3663829587922461
124,0,8459,4009107067651007
1520,11,1311995,4009515063955210
746,0,28020,3924964967599878
75,2,5820,3554935188427073
854,0,329350,3970236207816440
513,0,48153,3876812566273086
54,0,1741,3528552760389578
706,4,236674,4006900813339913
294,0,204534,4009775207600873
357,1,14898,3999750426729237
137,1,49405,4008770923184580
1010,1,3542,3525636573890731
657,0,7728,3857195613103329
551,0,51723,4010133601918825
643,4,11433,3704017064430305
1054,2,644222,4010140514467109
447,0,5396,3944584269128651
858,4,382997,4009827523301741
272,25,21395,4008469989992606
859,1,124036,3998542487921140
1402,11,2217731,4010300388467997
42,0,4935,3976158938720157
495,47,1661991,4010080690988205
272,0,18366,4009424534660604
1158,0,11809776,3647077944862575
455,225,9109203,4009824918477057
362,0,2903,4006195792367641
270,0,379412,4006882245148824
344,0,3364,3890070224338197
579,1,157010,4010147044546686
27,2,2782,3522370180216644
398,0,37680,3973588296027165
335,1773,5584043,4009388903419709
240,3,52707,4010133534609566
60,0,19064,3986935250370010
439,6,501909,4009754944545646
181,2,1136725,4009852433242313
669,4,1377642,3451398170002704
1402,0,2217731,4010268428059052
781,230,152174,3546431064959721
436,170,7784123,3898941378528712
369,3,238719,3999974448655926
153,0,84056,3560188755695580
211,0,283254,4005092850564925
2006,11,157850,4009416125289494
98,0,5393,3676387237871426
536,0,170617,4010141340775086
2000,0,184403,3847427993895177
109,2,2647,3621031648154684
221,6,94819,3792833720357023
445,0,799411,4010158201738190
94,0,1431,3908018326889217
1956,1037,47857084,3981583340436350
1260,12,291,3798859744044404
1982,0,97460,4006567399062532
1982,0,97460,4006489738396689
995,0,5644,3699971579619644
1215,0,20983,3946390532535866
90,0,1678,3809358939241651
139,4,20447,3468710859686739
986,31,3236435,3847016218052380
258,3,13240,4006862292109863
1639,0,207521,4006241208284031
810,1,595892,4007261112506146
1992,5,564984,4009498102544823
579,0,157010,4010146214143174
270,1,86455,3991951999139888
589,2,8597,3715539723440454
77,1,69004,3802565978612905
1335,1176,2281453,3989513111729169
985,23,3229834,4010122860050286
536,0,170617,4009793544268672
839,4,84241,4007649744029912
477,2,86507,3958855497618337
774,0,23753751,3933375511077404
790,1,13557,3959084800155653
180,2,9015,3841710058198010
165,0,3495,4009428333985123
71,1,1626,3857278518399666
1143,0,276058,4009793800792258
560,0,52869,3736226038880073
248,0,2459,3472081276275925
628,2,33866,3955493329810829
240,285,2491,3641599982198046
454,0,867,3377415859169443
370,18,6836871,4010276628300238
270,0,86455,3994286111911044
27,0,2782,3431761893349636
42,5,4935,3989979115863607
1737,19,1177433,4009893931288249
77,8,69004,3802670148436545
133,1,7365,3343023480914944
593,1,21458,4004429843995542
74,0,3077,3403572383705612
1869,33,7141,3522466356134695
256,0,100997,4010228364820460
515,1,9064,3971821491730683
227,4,6314,3541644492100820
688,0,11452,4010219116023894
1029,53,5830619,4009758095216860
182,0,4132,3781871660196302
153,0,2007,3888042576264789
165,0,235084,4009462367001616
1135,33,16667,4009808745692104
286,0,3037,3647097846946616
603,0,16185,3963021619306109
332,1,9112,4009474689124582
591,0,112410,4005139050214955
248,21,2459,3477141465032245
299,4,7790,3989647174717777
1956,1721,47858146,4010139189039503
810,1,595892,4007252928827876
536,7,170617,4009516485544852
70,0,1856,3507899651315109
47,0,398,3451053033313109
687,0,11667,3721081741242629
1203,0,12336,3908285939451419
156,0,45374,3423446513710199
1616,3,2087658,3995426535636783
281,0,19177,4004509804230998
319,1,90610,3837001831153014
177,0,260098,4003967300694185
212,0,51020,4006932446363921
657,1,7728,3864094928964862
558,6,355877,4010254335219668
182,0,4132,3918560138925572
338,0,2529,3358197467839400
768,0,4999,3997461154889345
858,4,3442,3553163611016326
149,0,5893,4008683035550273
499,2,2451,3423079529249697
1020,0,163026,4010310455146471
468,0,10836,4010133811742662
442,3,26390,3627477291742421
1954,238,8479186,4010112794566986
515,31,205479,4010134511831765
1065,991,74888,3766610093366010
259,0,2111,3778214835495058
524,2,379652,4010254083107493
371,199,24442248,3928289414133447
34,0,604,3741317945528451
325,0,13393,3855348027341215
144,3,73333,4008776895822543
411,0,27934,3948328213092579
1639,2,207521,4009831276287330
774,0,5784,3909740528182517
936,0,50977,3978250097618866
338,2,734397,4010024571130018
228,0,885,3620944465240196
295,0,138539,4009103251073639
152,1,59871,4009759734350746
55,4,2619,3515589895397250
455,400,9109218,4009745805193874
1921,1,72025,4004681967068071
418,0,4835679,4010246609861111
272,0,18366,4010140908833751
774,505,23753319,4010247540040190
133,2,7365,3346285478847242
764,2,1370,3517638053138668
303,3,342658,4008839685219974
452,0,11117,4004074049144454
5000,768,33076115,4010125750109456
319,0,90610,3835118189334393
1224,0,66043,3845212285769709
639,5,454307,4010221943128514
113,0,35716,3952903633321336
1054,10,2033504,4010114127833495
1234,0,337163,4004320406497190
126,0,11140,3859860766961633
589,11,8597,3709786492997395
1668,39,8137236,4010075317974994
643,2,11433,3703412522543050
668,35,4812521,4003734268340596
348,10,2165098,4009949225023393
195,1,91263,4009486085006767
1887,4,516556,4007980095174145
